   51.030  41.940  55.750 
   40.200  24.940  54.170 
   50.760  32.430  58.090 
   51.300  51.860  52.800 
    4.530  37.230  59.000 
   59.490  56.500  51.130 
   47.110  24.520  58.280 
   35.370  50.530  51.820 
   61.380  31.530  58.850 
   60.570  25.110  59.420 
   46.380  53.430  55.390 
   26.600  51.300  53.130 
    4.690  28.970  60.230 
   54.840  37.940  60.720 
   15.810  54.000  55.150 
   15.250  25.820  61.270 
   19.710  40.430  57.730 
   44.850  34.950  55.930 
    7.640  57.260  54.380 
   41.100  60.300  54.950 
    8.950  18.300  57.280 
   22.430  57.430  53.750 
   39.780  44.490  52.580 
   26.050  21.530  52.980 
   13.530  38.340  59.790 
    5.910  51.380  55.480 
    8.090  45.020  57.010 
   -0.670   3.310  51.700 
   41.140  18.020  55.910 
   28.870  39.630  59.140 
   60.880  50.270  49.950 
   -0.650  46.240  54.620 
   25.770   8.610  50.540 
   32.470  19.130  53.970 
   44.620  66.720  55.050 
   12.910  -0.580  51.470 
   24.500  22.830  58.860 
   31.720   6.470  52.290 
   51.420   8.560  55.210 
   31.160  46.930  53.700 
   32.710  55.080  54.930 
   38.240  12.970  56.020 
   56.310   4.330  53.010 
   53.670  62.080  52.640 
    3.060  15.870  57.830 
   46.320  43.730  53.340 
   39.950   6.370  56.330 
   21.290  16.810  53.520 
   18.090  45.790  58.800 
   57.860  17.160  57.580 
   21.220  28.310  64.160 
   25.910  15.580  50.360 
   18.630   2.610  49.680 
    5.150   7.090  51.950 
   49.760  13.770  56.810 
    8.780  12.340  55.060 
   28.040  29.160  60.810 
   61.030  38.680  56.920 
   15.070  60.480  56.240 
   18.080   8.310  50.240 
   36.260  30.150  57.760 
   35.760  39.140  57.120 
   25.420  66.790  51.840 
    4.620  63.230  53.390 
   54.020  16.830  15.380 
   13.880  15.090  20.140 
    2.820  27.730  17.250 
   15.090  23.110  20.760 
   11.010   8.840  21.290 
   58.530  37.380  16.080 
   50.850  26.020  14.900 
   25.320   1.300  19.450 
    7.990  47.980  18.480 
   53.050  32.250  15.550 
   20.770  45.360  16.640 
    9.750  27.200  16.130 
   37.940  34.290  17.080 
   19.610  20.970  17.580 
   40.800  45.380  15.190 
   19.440  55.080  18.050 
   17.150  41.080  17.570 
   47.840  16.540  16.570 
   -1.340  31.280  14.430 
   25.300  34.880  19.180 
    8.880  41.430  19.640 
    5.720   4.680  14.920 
   33.080  31.660  20.190 
   47.590   8.820  17.220 
   59.690  23.120  16.430 
   13.540  36.740  18.300 
   55.700  57.720  16.390 
   34.200  47.120  18.040 
   46.190  50.440  18.550 
   34.920  56.960  19.630 
   25.270  60.560  20.300 
    5.340  17.330  18.830 
    5.250  35.680  17.570 
   20.590  31.080  20.250 
   16.420  49.640  18.560 
   63.720   9.960  18.080 
   39.480  10.710  17.610 
   58.440  43.700  16.670 
   19.460  12.030  17.550 
   35.910  40.000  19.490 
   29.010  25.340  16.500 
   29.800  53.440  17.620 
   41.830  18.800  16.440 
   43.300  -1.860  15.530 
   17.610  -0.350  17.980 
   49.010  44.090  12.350 
   28.250  13.220  12.250 
   47.610  34.500  17.680 
   63.990  55.000  13.760 
   31.800  62.010  18.830 
   33.250   4.500  15.310 
   40.700  58.630  18.680 
   10.750  57.130  17.560 
   46.860   3.900  14.610 
    7.640  63.040  16.500 
   56.280  10.980  17.480 
    5.740  11.100  17.920 
   55.880  68.210  18.710 
   60.950  -3.040  16.780 
   33.140  11.250  15.060 
   28.420  41.760  18.940 
   45.940  26.850  17.390 
   57.020  51.480  17.580 
   24.470  26.120  18.410 
